common_name,scientific_name,species_annotation_codes,Habitat,Habit
Ashy Drongo,Dicrurus,AD,RF,CAN
Asian Brown Flycatcher,,ABF,OC,MID
Asian Emerald Dove,,AED,RF,GRD
Asian Fairy-bluebird,Irena puella,AFB,RF,CAN
Asian Koel,,AK,OC,MID
Bar-winged Flycatcher-shrike,,BWFS,RF,CAN
Black Kite,,BK,OC,GRD
Black-and-rufous Flycatcher (Black-and-orange Flycatcher),Ficedula nigrorufa,BAOF,RF,UND
Black Eagle,,BE,RF,CAN
Black Hooded Oriole,,BHO,OC,CAN
Black-naped Monarch,,BNM,RF,MID
Black-rumped Flameback (Lesser Goldenbacked Woodpecker),,BRF,OC,MID
Black-throated Munia,,BTM,RF,GRD
Blue-throated Flycatcher (Blue-throated Blue-Flycatcher),,BTF,RF,UND
Blyth's Reed Warbler,Acrocephalus dumetorum,BRW,OC,UND
Booted Warbler,,BOW,OC,UND
Brahminy Kite,,BRK,OC,AQU
Bronzed Drongo,,BD,RF,MID
Brown-breasted Flycatcher,,BBF,RF,UND
Brown-capped Pygmy Woodpecker (Indian Pygmy Woodpecker),,BCPW,OC,CAN
Brown-cheeked Fulvetta,Alcippe poioicephala,BCF,RF,MID
Brown Fish Owl,,BFO,RF,AQU
Brown Shrike,Lanius,BS,OC,GRD
Brown Wood Owl,,BWO,RF,CAN
Chestnut-headed Bee-eater,Merops leschenaulti,CHBE,RF,AER
Common Flameback (Goldenbacked Three-toed Woodpecker),,CF,RF,MID
Common Hawk-Cuckoo,Hierococcyx varius,CHC,OC,CAN
Common Iora,Aegithina tiphia,CI,OC,MID
Common Rosefinch,Carpodacus erythrinus,CR,OC,CAN
Common Tailorbird,,CT,OC,UND
Crested Goshawk,,CG,RF,CAN
Crested Serpent Eagle,,CSE,RF,GRD
Crimson-backed Sunbird (Small Sunbird),Leptocoma,CBS,RF,CAN
Dark-fronted Babbler,,DFB,RF,UND
Eurasian Hoopoe,Upupa epops,EH,OC,GRD
Flame-throated Bulbul (Ruby-throated Bulbul),,FTB,RF,MID
Forest Wagtail,,FW,RF,GRD
Golden-fronted Leafbird (Golden-fronted Chloropsis),,GFL,RF,CAN
Great Hornbill (Great Pied Hornbill),,GH,RF,CAN
Greater Coucal,,GC,OC,UND
Greater Flameback,,GF,RF,CAN
Greater Racket-tailed Drongo,,GRTD,RF,CAN
Green Warbler,Phylloscopus,GRW,RF,CAN
Greenish Warbler,Phylloscopus,GNW,RF,CAN
Grey-breasted Prinia,,GBP,OC,UND
Grey-fronted Green-Pigeon (Pompadour Green-Pigeon),,GFGP,RF,CAN
Grey-headed Canary-Flycatcher,Culicicapa ceylonesis,GHCF,RF,MID
Grey Junglefowl,Gallus sonneratii,GJ,RF,GRD
Grey Wagtail,Motacilla cinerea,GW,RF,GRD
Grey-bellied Cuckoo,,GBC,OC,MID
Heart Spotted Woodpecker,,HSWP,RF,CAN
House Crow,Corvus,HC,OC,GRD
Indian Blackbird,,IB,RF,GRD
Indian Blue Robin,,IBR,RF,UND
Indian Golden Oriole,,IGO,OC,CAN
Indian Paradise-Flycatcher,,IPF,RF,MID
Indian Peafowl,,IP,OC,GRD
Indian Pitta,,IPT,RF,GRD
Indian Scimitar-Babbler,,ISB,RF,UND
Indian Scops Owl,,ISO,RF,MID
Indian Yellow Tit,,IYT,RF,CAN
Jungle Babbler,,JB,OC,GRD
Jungle Myna,,JM,OC,GRD
Jungle Nightjar,,JN,OC,GRD
Large-billed Crow,,LBC,OC,GRD
Large-billed Leaf Warbler,,LBLW,RF,UND
Lesser Yellownape,,LY,RF,CAN
Little Spiderhunter,,LS,RF,MID
Long-tailed Shrike,,LTS,OC,GRD
Malabar Barbet (Crimson-throated Barbet),,MB,RF,CAN
Malabar Grey Hornbill,Ocyceros griseus,MGH,RF,CAN
Malabar Parakeet (Blue-winged Parakeet),,MP,RF,CAN
Malabar Trogon,,MT,RF,MID
Malabar Whistling-Thrush,,MWT,RF,GRD
Malabar Woodshrike,,MW,RF,CAN
Mountain Imperial-Pigeon,Ducula badia,MIP,RF,CAN
Nilgiri Flowerpecker,,NFP,RF,CAN
Nilgiri Flycatcher,,NF,RF,CAN
Nilgiri Wood-Pigeon,,NWP,RF,MID
Orange-headed Thrush,,OHT,RF,GRD
Orange Minivet,,OM,RF,CAN
Oriental Honey-buzzard (Crested Honey Buzzard),,OHB,RF,CAN
Oriental Magpie-Robin,,OMR,OC,GRD
Oriental White-eye,,OWE,RF,MID
